molecule_chembl_id,canonical_smiles,value,STATUS,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL189556,Oc1ccc2c(-c3nc4cc(F)c(O)cc4o3)cccc2c1,434.0,active,295.269,4.198300000000002,2.0,4.0
CHEMBL183367,Oc1ccc2c(-c3nc4cc(O)ccc4o3)cccc2c1,153.0,active,277.27900000000005,4.059200000000002,2.0,4.0
CHEMBL183368,Cc1cc(O)c2cccc(-c3nc4ccc(O)cc4o3)c2c1,163.0,active,291.30600000000004,4.367620000000002,2.0,4.0
CHEMBL187313,Oc1ccc2cc(-c3nc4cc(O)ccc4o3)ccc2c1,3800.0,intermediate,277.27900000000005,4.059200000000002,2.0,4.0
CHEMBL190467,O=C1C(c2ccc(O)cc2)=C(Br)c2ccc(O)cc21,290.0,active,317.13800000000003,3.5573000000000006,2.0,3.0
CHEMBL371777,CC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,55.0,active,252.26899999999998,3.224800000000002,2.0,3.0
CHEMBL191841,CSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,12.0,active,284.336,3.525400000000001,2.0,4.0
CHEMBL193108,CCSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,10.0,active,298.363,3.9155000000000015,2.0,4.0
CHEMBL192586,O=C1C(c2ccc(O)cc2)=C(c2ccccc2)c2ccc(O)cc21,9.0,active,314.34000000000003,4.253200000000002,2.0,3.0
CHEMBL192587,COc1cc(O)cc2c1C(Br)=C(c1ccc(O)cc1)C2=O,200.0,active,347.16400000000004,3.565900000000001,2.0,4.0
CHEMBL192325,O=C1C(c2ccc(O)cc2)=C(O)c2ccc(O)cc21,5000.0,intermediate,254.24099999999999,2.7203999999999997,3.0,4.0
CHEMBL192326,O=C1C(c2ccc(O)cc2)=C(O)c2cc(O)cc(O)c21,5000.0,intermediate,270.24,2.4260000000000006,4.0,5.0
CHEMBL189541,NC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,5000.0,intermediate,253.25699999999998,2.1211,3.0,4.0
