molecule_chembl_id,canonical_smiles,STATUS,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL3657183,Cc1c(-c2ccc(OC(C)C)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,active,498.66700000000037,7.022520000000007,1.0,5.0,7.0
CHEMBL3657156,Cc1c(-c2ccc(OC(C)C)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,active,512.6940000000004,7.4126200000000075,1.0,5.0,7.096910013008056
CHEMBL3657157,Cc1c(-c2ccc(C(F)(F)F)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,active,508.5840000000004,7.2541200000000075,1.0,4.0,6.769551078621726
CHEMBL3657158,Cc1ccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,active,454.6140000000004,6.543740000000008,1.0,4.0,6.958607314841775
CHEMBL3657159,Cc1c(-c2ccc(Cl)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,active,475.0320000000004,6.888720000000007,1.0,4.0,6.958607314841775
CHEMBL3657160,Cc1c(-c2cccc(O)c2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,active,456.58600000000024,5.9409200000000055,2.0,5.0,7.721246399047171
CHEMBL3657161,Cc1c(-c2cccc(O)c2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,active,470.6130000000003,6.331020000000006,2.0,5.0,8.045757490560675
CHEMBL3657162,Cc1c(-c2ccc(O)c(F)c2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,active,474.57600000000036,6.0800200000000055,2.0,5.0,8.259637310505756
CHEMBL3657163,Cc1c(-c2ccc(O)c(F)c2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,active,488.6030000000004,6.470120000000006,2.0,5.0,7.886056647693163
CHEMBL3657164,COc1cccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)c1,active,470.6130000000004,6.243920000000007,1.0,5.0,6.920818753952375
CHEMBL3657165,Cc1c(-c2ccc(OC(F)(F)F)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,active,524.5830000000004,7.133920000000007,1.0,5.0,7.301029995663981
CHEMBL3657166,Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCC3)cc2)cc1,active,462.9770000000004,5.895800000000006,2.0,5.0,8.397940008672037
CHEMBL3657167,Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,active,477.0040000000004,6.285900000000006,2.0,5.0,7.619788758288394
CHEMBL3657168,Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCCC3)cc2)cc1,active,491.03100000000046,6.676000000000006,2.0,5.0,7.5376020021010435
CHEMBL3657169,Cc1cc(O)ccc1-c1c(Cl)c2cc(O)ccc2n1Cc1ccc(OCCN2CCCCC2)cc1,active,491.03100000000046,6.594320000000007,2.0,5.0,7.886056647693163
CHEMBL3657170,CCc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,active,470.6130000000003,6.194900000000006,2.0,5.0,6.823908740944319
CHEMBL3657171,N#Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,active,467.5690000000003,5.504180000000005,2.0,6.0,7.958607314841775
CHEMBL3657172,N#Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,active,481.59600000000034,5.8942800000000055,2.0,6.0,7.638272163982407
CHEMBL3657173,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCCN3CCCCC3)cc2)c2ccc(O)cc12,active,470.6130000000003,6.331020000000007,2.0,5.0,7.00436480540245
CHEMBL3657174,COc1cc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)ccc1OCCN1CCCCC1,active,486.6120000000004,5.949520000000007,2.0,6.0,7.096910013008056
CHEMBL3657175,COc1cc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)ccc1OCCN1CCCCCC1,active,500.63900000000046,6.339620000000007,2.0,6.0,7.2441251443275085
CHEMBL4106817,COCCCCCC[C@@H]1C[C@@H]2[C@H](CCC3[C@@H](O)CC[C@H]32)c2ccc(O)cc21,active,372.5490000000001,5.357100000000007,2.0,3.0,7.154901959985743
CHEMBL3931922,COC[C@@H]1CC2C(CC[C@@]3(C)C2CC[C@@H]3O)c2ccc(O)cc21,active,316.44100000000003,3.796700000000003,2.0,3.0,6.305394801066432
CHEMBL3960585,COC[C@@H]1C[C@@H]2[C@H](CCC3C(O)CC[C@H]32)c2ccc(O)cc21,intermediate,302.41400000000004,3.406600000000002,2.0,3.0,5.647817481888637
